"Are you aware that consuming instant or fast-cooking meals may have potential health risks despite being marketed as ""natural"" or ""healthy""?","If you are aware of the potential health risks of instant cooking items, do you still choose them due to convenience?",Do you think FMCG brands intentionally use vague or misleading labels to make their products seem more environmentally friendly?,Would you prefer if FMCG brands provided more detailed information about their ingredients and the environmental impact of their products?
1,1,0.5,1.0
1,1,1.0,0.75
1,0,0.5,1.0
1,0,0.75,0.75
1,1,0.75,1.0
1,0,0.25,1.0
1,1,1.0,1.0
1,1,1.0,1.0
1,0,0.75,1.0
0,1,1.0,0.5
1,1,0.75,1.0
1,1,1.0,1.0
1,1,0.75,0.5
1,0,0.75,0.75
1,0,0.5,1.0
1,1,1.0,0.5
1,1,1.0,1.0
1,1,0.5,0.75
1,1,0.75,0.5
1,0,1.0,1.0
1,1,1.0,0.25
1,1,0.75,1.0
1,1,1.0,0.75
1,1,1.0,0.75
1,0,0.75,1.0
1,0,0.5,1.0
1,1,0.25,0.25
1,1,0.75,1.0
0,0,0.75,0.25
1,1,1.0,1.0
1,1,1.0,0.75
1,1,1.0,0.75
1,0,1.0,1.0
1,1,1.0,1.0
1,0,1.0,1.0
1,0,0.75,0.75
1,1,0.25,1.0
0,0,0.5,0.25
1,1,0.75,0.25
1,1,0.5,1.0
1,0,1.0,0.75
1,0,1.0,0.5
1,1,1.0,1.0
1,1,0.75,0.75
1,1,1.0,1.0
1,1,1.0,1.0
1,0,0.75,1.0
1,1,0.5,1.0
1,1,0.75,0.75
1,0,0.75,1.0
1,0,0.75,0.75
1,0,0.0,1.0
1,0,0.5,1.0
0,0,1.0,0.25
0,1,1.0,0.75
1,0,0.75,1.0
1,0,0.5,1.0
1,0,1.0,0.75
1,1,0.5,1.0
1,1,1.0,1.0
1,1,1.0,0.75
1,1,1.0,0.75
1,0,1.0,1.0
1,1,0.75,1.0
1,1,0.75,1.0
1,0,1.0,1.0
0,0,1.0,0.75
1,0,0.75,1.0
1,1,1.0,0.25
1,1,0.75,0.5
1,0,0.5,1.0
1,1,1.0,0.75
1,0,1.0,0.75
1,1,0.25,1.0
1,0,0.75,1.0
1,1,0.5,0.5
1,1,1.0,1.0
1,1,0.5,0.75
1,0,0.75,1.0
1,0,0.75,0.75
1,1,0.25,1.0
1,0,1.0,1.0
1,1,1.0,1.0
1,1,0.75,1.0
1,0,1.0,1.0
0,1,0.75,0.5
1,1,1.0,1.0
1,1,0.75,1.0
1,1,0.75,0.5
1,0,0.5,0.75
1,0,1.0,1.0
1,1,1.0,0.5
1,1,0.5,1.0
1,1,0.75,0.75
1,1,1.0,0.5
1,0,1.0,1.0
1,1,0.75,0.25
1,1,1.0,1.0
1,1,1.0,0.75
1,1,0.75,0.75
1,0,0.5,1.0
1,0,0.25,1.0
1,1,0.75,0.25
1,1,0.75,1.0
0,0,1.0,0.25
1,1,1.0,1.0
1,1,1.0,0.75
1,1,1.0,0.75
1,0,1.0,1.0
1,1,1.0,1.0
1,0,0.75,1.0
1,0,0.25,0.75
1,1,0.5,1.0
0,0,0.75,0.25
1,1,0.5,0.25
1,1,1.0,1.0
1,0,1.0,0.75
1,0,1.0,0.5
1,1,0.75,1.0
1,1,1.0,0.75
1,1,1.0,1.0
1,1,0.75,1.0
1,0,0.5,1.0
1,1,0.75,1.0
1,1,0.75,0.75
1,0,0.75,1.0
1,0,0.0,0.75
1,0,0.5,1.0
1,0,1.0,1.0
0,0,1.0,0.25
0,1,0.75,0.75
1,0,0.5,1.0
1,0,1.0,1.0
1,0,0.5,0.75
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,0.75
1,1,1.0,0.75
1,0,0.75,1.0
1,1,0.75,1.0
1,1,1.0,1.0
1,0,1.0,1.0
0,0,0.75,0.75
1,0,1.0,1.0
1,1,0.75,0.25
1,1,0.5,0.5
1,0,1.0,1.0
1,1,1.0,0.75
1,0,0.25,0.75
1,1,0.75,1.0
1,0,0.5,1.0
1,1,1.0,0.5
1,1,0.5,1.0
1,1,0.75,0.75
1,0,0.75,1.0
1,0,0.25,0.75
1,1,1.0,1.0
1,0,1.0,1.0
1,1,0.75,1.0
1,1,1.0,1.0
1,0,0.75,1.0
0,1,1.0,0.5
1,1,0.75,1.0
1,1,0.75,1.0
1,1,0.5,0.5
1,0,1.0,0.75
1,0,1.0,1.0
1,1,0.5,0.5
1,1,0.25,1.0
1,1,1.0,0.75
1,1,1.0,0.5
