Have you ever seen an FMCG product that made environmental claims on its label that you found to be exaggerated or false?,"If you find that a brand’s environmental claims are misleading, how likely are you to stop purchasing their products?",To what extent do misleading environmental claims affect your trust in a brand?,How likely are you to continue purchasing instant cooking products even if their environmental claims are misleading or unclear?
1.0,0.75,0.75,0.25
1.0,0.75,0.75,0.25
0.5,0.75,0.75,0.0
0.5,0.5,0.25,0.5
0.5,0.0,1.0,0.25
0.5,1.0,1.0,0.25
1.0,0.25,0.25,0.75
0.5,1.0,0.75,0.0
0.5,0.75,0.75,0.5
1.0,0.75,1.0,0.75
1.0,0.75,0.75,0.25
0.5,0.75,0.25,0.75
0.5,0.5,0.25,0.5
0.0,0.25,0.25,0.75
1.0,0.0,0.75,0.5
0.0,1.0,0.75,0.5
1.0,0.75,0.75,0.25
0.0,0.75,0.75,0.75
1.0,0.25,0.75,0.25
1.0,0.75,0.75,0.5
0.5,0.75,0.5,0.5
0.0,0.75,0.75,0.0
1.0,0.75,0.75,0.75
0.5,0.75,1.0,0.5
1.0,1.0,1.0,0.25
1.0,0.75,0.0,0.25
0.5,0.75,0.75,0.0
1.0,0.5,0.25,0.0
0.0,0.75,0.5,0.25
0.5,0.75,0.75,0.75
1.0,0.25,0.5,0.5
1.0,0.75,0.75,0.75
1.0,0.75,0.5,0.75
1.0,1.0,0.5,0.75
1.0,0.75,1.0,0.0
0.5,0.5,0.5,0.25
0.0,0.5,0.25,0.75
0.5,0.5,0.25,0.0
0.0,0.75,0.75,0.75
0.5,0.75,0.75,0.75
1.0,0.5,0.5,0.25
0.5,0.0,0.75,0.75
0.5,0.5,0.75,0.0
0.0,0.75,0.75,0.5
1.0,0.75,1.0,0.75
1.0,0.25,0.75,0.75
0.5,1.0,0.75,0.75
0.5,0.5,0.25,0.25
0.0,0.25,0.75,0.0
1.0,1.0,0.75,0.25
0.5,0.75,0.5,0.75
0.5,0.75,0.5,0.5
0.0,0.25,0.25,0.75
0.5,0.25,0.25,0.25
0.0,1.0,1.0,0.25
1.0,0.75,0.75,0.25
1.0,0.75,0.75,0.25
0.5,0.5,0.0,0.25
1.0,0.25,0.75,0.25
1.0,0.5,0.5,0.0
1.0,0.5,0.25,1.0
0.5,0.5,0.75,0.25
0.0,0.75,0.25,0.5
0.5,0.0,1.0,0.75
0.5,1.0,0.75,0.25
0.5,1.0,1.0,0.75
0.0,1.0,1.0,0.25
0.0,1.0,1.0,0.0
0.5,0.5,0.75,0.0
1.0,0.75,1.0,0.0
1.0,0.5,0.5,0.25
1.0,0.25,0.25,0.5
0.5,0.25,0.25,0.75
0.5,0.75,0.75,0.25
0.5,0.75,0.5,0.5
1.0,0.75,0.75,0.0
1.0,0.75,0.75,0.25
1.0,0.75,0.75,0.25
0.5,0.5,0.25,0.0
0.5,0.0,1.0,0.5
0.5,1.0,1.0,0.25
0.5,0.25,0.25,0.25
1.0,1.0,0.75,0.75
0.5,0.75,0.75,0.0
0.5,0.75,1.0,0.5
1.0,0.75,0.75,0.75
1.0,0.75,0.25,0.25
0.5,0.5,0.25,0.75
0.5,0.25,0.25,0.5
0.0,0.0,0.75,0.75
1.0,1.0,0.75,0.5
0.0,0.75,0.75,0.5
1.0,0.75,0.75,0.25
0.0,0.25,0.75,0.75
1.0,0.25,0.25,0.25
1.0,1.0,0.75,0.5
0.5,0.75,0.75,0.5
